Country,state,city,region,region_alt,region_alt_2,region_alt_atlantia,am
AR,Santa Fe,Santa Fé,Centro,,,,
AR,Ciudad de Buenos Aires,Constitución,Ciudad de Buenos Aires,,,,
CR,Puntarenas,Las Mantas,Other,,,,
CO,Antioquia,Peñol,,Antioquia / Eje Cafetero,,Centro,
NI,León,Las Tablas,Region II,,,,
SV,Cabañas,La Escopeta,Paracentral,,,,
SV,Santa Ana,Pinalón,Occidental,,,,
VE,Zulia,San Carlos del Zulia,,,,,
SV,Usulután,Lepaz,Oriental,,,,
BR,São Paulo,Barretos,Sudeste,,,,
BR,São Paulo,Jaboticabal,Sudeste,,,,
AR,GBA Sur,Quilmes,GBA,,,,AMBA
PA,Panamá,Ciudad de Panamá,Panama,,,,
EC,Azuay,Gualaceo,Sierra,Sierra,,Sierra,
UY,Artigas,,Norte,,,,
AR,San Juan,Rivadavia,Cuyo,,,,Gran San Juan
CL,Valparaíso,Viña del Mar,Central,,,,AM de Valparaíso
MX,Tabasco,Cardenas ,Southeast,Area 6,,,
GT,Petén,"Dolores – 26,269",Region VIII- Pet,,,,
NI,Managua,América,Region I,,,,
ES,Vizcaya,,País Vasco,Nortecentro (North Central),,,
BR,Goiás,Padre Bernardo,Centro-Oeste,,,,AM de Brasilia
EC,Santa Elena,Santa Elena,Costa/Cost,,,,
PE,Lima,Lurín,Lima and Callao,,,,AM de Lima
BR,Rio de Janeiro,Casimiro de Abreu,Sudeste,,,,AM de Rest of Rio
MX,Estado de México,Acolman,South-Central,Area 4,Sur,Occidente Pacífico,AM de Ciudad de México
PY,Concepción,,Oriental,,,,
ES,Cantabria,,Cantabria,Nortecentro (North Central),,,
BR,Bahia,Macajuba,Nordeste,,,,AM de Rest of Bahia
BR,Maranhão,Olinda Nova do Maranhão,Nordeste,,,,
BR,Mato Grosso do Sul,Pedro Gomes,Centro-Oeste,,,,AM de Campo Grande
BR,São Paulo,Ipaussu,Sudeste,,,,AM de Rest of SP
BR,Alagoas,,Nordeste,,,,
GT,Guatemala,Santa Catarina Pinula,Region I- Metropolitana,,,,
BR,Pará,Santana do Araguaia,Norte,,,,
BR,Goiás,Itapuranga,Centro-Oeste,,,,AM de Rest of Goias
